epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,194.914,1.30881,1.24683,1.46012,0.67291,0.66953,0.70787,0.37911,1.59423,1.2995,1.61428,0.0005941,0.0005941,0.0005941
43,199.455,1.31832,1.27211,1.45891,0.66983,0.64517,0.70103,0.3722,1.67707,1.29802,1.6366,0.0005842,0.0005842,0.0005842
44,203.928,1.32845,1.2741,1.46913,0.65316,0.66667,0.69094,0.36512,1.61124,1.31959,1.6473,0.0005743,0.0005743,0.0005743
45,208.407,1.31069,1.25706,1.46747,0.6412,0.62153,0.66669,0.34291,1.65584,1.40169,1.63424,0.0005644,0.0005644,0.0005644
46,212.87,1.31936,1.26654,1.463,0.63747,0.64956,0.67779,0.37322,1.58948,1.30932,1.62341,0.0005545,0.0005545,0.0005545
47,217.345,1.3185,1.24984,1.45847,0.64909,0.65745,0.68403,0.37216,1.6347,1.32061,1.6414,0.0005446,0.0005446,0.0005446
48,221.821,1.30537,1.23538,1.44509,0.6797,0.59658,0.67385,0.38058,1.57484,1.31858,1.60939,0.0005347,0.0005347,0.0005347
49,226.432,1.32158,1.25349,1.46168,0.67224,0.67235,0.69977,0.37604,1.60189,1.33208,1.63323,0.0005248,0.0005248,0.0005248
50,230.849,1.28793,1.22413,1.44108,0.69503,0.65778,0.70495,0.3852,1.62357,1.27839,1.62799,0.0005149,0.0005149,0.0005149
51,235.43,1.26223,1.21094,1.42537,0.64777,0.67588,0.68674,0.37896,1.59367,1.28051,1.61578,0.000505,0.000505,0.000505
52,239.897,1.28259,1.2011,1.44172,0.56554,0.64225,0.657,0.3519,1.63493,1.43055,1.66786,0.0004951,0.0004951,0.0004951
53,244.367,1.26981,1.17804,1.42967,0.67006,0.68317,0.72045,0.38907,1.61324,1.27737,1.63427,0.0004852,0.0004852,0.0004852
54,249.003,1.27212,1.18092,1.42727,0.60883,0.6479,0.66847,0.36134,1.6052,1.34463,1.63433,0.0004753,0.0004753,0.0004753
55,253.5,1.25765,1.18251,1.40674,0.6865,0.68022,0.71034,0.37867,1.67477,1.31745,1.67392,0.0004654,0.0004654,0.0004654
56,257.998,1.26969,1.18027,1.4135,0.64367,0.66679,0.70113,0.38443,1.57694,1.28196,1.61838,0.0004555,0.0004555,0.0004555
57,262.433,1.26391,1.1691,1.4163,0.70719,0.63653,0.71612,0.39658,1.5795,1.23028,1.60669,0.0004456,0.0004456,0.0004456
